Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,16-Dec-2021,CE,15550,0,0,0,1513.75,0,1538.15,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15600,0,0,0,1465.4,0,1489.65,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15650,0,0,0,1417.35,0,1441.35,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15700,0,0,0,1369.6,0,1393.3,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15750,0,0,0,1322.15,0,1345.55,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15800,0,0,0,1275.05,0,1298.1,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15850,0,0,0,1228.35,0,1251.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15900,0,0,0,1573.8,0,1204.4,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,15950,0,0,0,1526.6,0,1158.15,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16000,1097.8,1097.8,1090,1090,1090,1112.4,2,17.09,1.09,100,100,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16050,1100.05,1100.05,1100.05,1100.05,1100.05,1067.15,1,8.58,0.55,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16100,1117.2,1117.2,1117.2,1117.2,1117.2,1022.5,1,8.61,0.56,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16150,0,0,0,1675.05,0,978.45,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16200,0,0,0,1631.65,0,935.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16250,0,0,0,1588.6,0,892.4,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16300,865.05,865.05,865.05,865.05,865.05,850.45,1,8.58,0.43,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16350,0,0,0,1679.55,0,809.35,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16400,740.45,740.45,740.45,740.45,740.45,769.1,1,8.57,0.37,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16450,0,0,0,1594.35,0,729.7,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16500,595.9,744.25,536.5,693.35,693.35,693.35,13,111.47,4.22,300,200,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16550,716.7,716.7,716.7,716.7,716.7,654.45,1,8.63,0.36,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16600,605.3,605.3,605.3,605.3,605.3,617.3,1,8.6,0.3,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16650,539.9,539.9,539.9,539.9,539.9,581.95,1,8.59,0.27,50,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16700,418.45,580.7,404.25,538.7,542.3,538.7,31,266.67,7.82,600,350,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16750,486.25,524.25,486.25,490.6,490.6,490.6,6,51.76,1.51,200,200,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16800,355.5,517,355.5,455.45,455.5,455.45,44,379.62,10.02,300,300,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16850,415.5,488.4,397,425.05,425.05,425.05,51,440.87,11.2,900,900,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,16900,353.45,445.2,300,382.35,383.7,382.35,91,786.21,17.26,1300,1050,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17000,301.35,390,239.65,324.75,321.4,324.75,1179,10214.52,193.02,12100,8450,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17050,238.1,343.95,238.1,291.6,285,291.6,75,650.73,11.36,700,400,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17100,202.6,323.1,201,265.6,263.3,265.6,429,3726.58,58.63,6000,1650,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17150,205,287,204.65,231.4,230.95,231.4,75,652.83,9.7,2100,1550,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17200,202.55,260.45,157,208.85,214.2,208.85,522,4547.08,57.88,12550,3450,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17250,187.55,229.5,161.2,187.15,189.25,187.15,73,637.02,7.39,2300,350,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17300,174,203,120.75,162.95,161,162.95,694,6063.36,60.26,18050,2300,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17350,137.55,174.45,110.2,143,147.1,143,283,2476.04,21.02,3550,800,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17400,118.75,155.7,92,122.95,121.05,122.95,1262,11058.89,79.49,18600,5050,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17450,105.25,133.55,67.85,107.05,106.3,107.05,658,5775.46,34.41,9300,9250,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17500,95,115,69.95,90,91,90,2168,19076.13,106.13,37850,7650,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17550,75,101.7,75,75.85,75.75,75.85,39,343.88,1.66,2000,1300,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17600,59.2,89.25,50.1,63.85,63.5,63.85,1164,10284.4,41.2,22700,4800,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17650,46.55,83.6,45.15,57.15,52.85,57.15,52,460.5,1.6,5000,850,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17700,51.8,62.2,34.45,44.6,42.05,44.6,848,7526.79,21.99,18250,1650,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17750,34.6,89.9,31,39.2,39.95,39.2,79,702.89,1.77,3550,1200,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17800,37.1,46.8,27.3,30.65,30.3,30.65,1152,10273.6,20.8,36100,9050,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17900,27.5,53,21.2,21.9,21.25,21.9,805,7216.12,11.37,17600,8200,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,17950,25,28.85,21.3,25.7,26.9,25.7,24,215.69,0.29,1850,600,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18000,27.95,39,15,16.5,23.4,16.5,1914,17246.11,20.11,57950,5900,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18050,23.95,40.1,12.35,13.9,13.7,13.9,68,614.37,0.67,1200,700,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18100,19.45,19.6,11.85,12.7,11.85,12.7,536,4854.97,4.17,14900,2250,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18150,15.2,31.5,9.95,13.7,13.7,13.7,8,72.67,0.07,1100,250,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18200,13.05,16.95,9.6,10.35,9.95,10.35,321,2923.16,2.06,11950,1850,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18250,0,0,0,771.95,0,31.85,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18300,7.05,17.7,7.05,8.4,9.1,8.4,99,906.42,0.57,6750,1950,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18350,0,0,0,720.4,0,24.7,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18400,8.2,16.95,6.7,8.35,8.55,8.35,44,405.03,0.23,2600,750,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18450,10,10,10,10,10,19,2,18.46,0.01,100,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18500,7,14,5.95,6.5,6.05,6.5,835,7727.2,3.45,43000,15100,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18550,7.25,8,6.85,7,7,14.5,8,74.23,0.03,150,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18600,4.85,12.5,4.85,6.05,5.8,6.05,86,800.13,0.33,5550,400,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18650,0,0,0,579.8,0,10.95,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18700,14.95,15.1,4.65,6.65,7,6.65,137,1281.58,0.63,2950,2400,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18750,7,10.35,1.95,7,7,8.2,18,168.81,0.06,950,600,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18800,0,0,0,517.35,0,7.1,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18850,0,0,0,8,8,6.1,0,0,0,200,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18900,6.3,6.3,6.2,6.2,6.2,5.25,3,28.36,0.01,450,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,18950,0,0,0,459.95,0,4.5,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19000,5.3,6.1,3.75,5.25,5.25,5.25,40,380.11,0.11,4850,50,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19050,0,0,0,7.4,7.4,3.3,0,0,0,1050,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19100,0,0,0,407.35,0,2.8,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19150,0,0,0,9.4,10,2.4,0,0,0,100,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19200,0,0,0,11.95,11.95,2.05,0,0,0,100,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19250,0,0,0,359.45,0,1.7,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19300,7.2,9.5,7.2,7.2,7.2,7.2,13,125.5,0.05,850,450,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19350,0,0,0,18,18,1.25,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19400,0,0,0,316.05,0,1.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19450,0,0,0,21.3,21.3,0.85,0,0,0,50,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19500,4.1,5,4.1,5,5,5,5,48.76,0.01,1500,200,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19550,0,0,0,277.65,0,0.6,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19600,0,0,0,7.95,7.95,0.5,0,0,0,50,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19650,0,0,0,8.1,8.1,0.45,0,0,0,400,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19700,0,0,0,241.9,0,0.35,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19750,0,0,0,6,6,0.3,0,0,0,600,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19800,0,0,0,9,9,0.25,0,0,0,100,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19850,0,0,0,210.4,0,0.2,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19900,2.55,15,2.55,6.05,5.7,6.05,95,945.63,0.38,3250,2350,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,19950,0,0,0,216.9,0,0.15,0,0,0,0,0,-
NIFTY,29-Nov-2021,16-Dec-2021,CE,20000,3.1,5,3,3.3,3.1,3.3,175,1750.3,0.3,12950,4500,-